name,ein,street,city,state,zip
SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS OF HANCOCK CTY,016018214,141 BAR HARBOR RD,TRENTON,ME,04605-5813
MIDCOAST HUMANE,016021200,190 PLEASANT ST,BRUNSWICK,ME,04011-2213
NEW ENGLAND WILDLIFE TR,016150781,133 WILLIAMS RD,GEORGETOWN,ME,04548-3340
NEW HAMPSHIRE WILDLIFE FEDERATION,020332369,54 PORTSMOUTH ST,CONCORD,NH,03301-5486
THE LAKES REGION KENNEL CLUB INC,020395081,PO BOX 752,MEREDITH,NH,03253-0752
NORTHEAST ASSOCIATION OF FISH AND WILDLIFE RESOURCES AGENCY,020418794,250 RABBIT COLLEGE RD,PETERSBURGH,NY,12138-2707
SULLIVAN COUNTY HUMANE SOCIETY,020428353,PO BOX 111,CLAREMONT,NH,03743-0111
LAKES REGION HUMANE SOCIETY INC,020442957,PO BOX 655,OSSIPEE,NH,03864-0655
THE CANINE AGILITY TRAINING SOCIETY INCORPORATED,020444328,101 W SWANZEY RD,SWANZEY,NH,03446-3419
NEW ENGLAND FEDERATION OF HUMANE SOCIETIES,020447142,951 BROADWAY ST,LOWELL,MA,01854-3007
GREYHOUND PLACEMENT SERVICE,020447784,432 SIXTH STREET,DOVER,NH,03820-5909
SALEM ANIMAL RESCUE LEAGUE,020454791,4 SARL DR,SALEM,NH,03079-4244
ANIMAL ALLIES,020469900,PO BOX 693,MANCHESTER,NH,03105-0693
COCKER SPANIEL RESCUE OF NEW ENGLAND INC,020472694,PO BOX 162,GREENFIELD,NH,03047-0162
FRIENDS OF THE MANCHESTER ANIMAL SHELTER,020478374,490 DUNBARTON RD,MANCHESTER,NH,03102-2572
FELINE FRIENDS RESCUE ADOPTION LEAGUE,020480464,PO BOX 2452,SALEM,NH,03079-1155
4 LIL PAWS FERRET SHELTER INC,020480680,49 PRESCOTT RD,BRENTWOOD,NH,03833-6502
WEARE ANIMAL GUARDIANS,020493781,PO BOX 3054,PETERBOROUGH,NH,03458-3054
FRIENDS OF THE EARTH SEA & SPACE CENTER,020504131,PO BOX 8003,PORTSMOUTH,NH,03802-3003
CONWAY AREA HUMANE SOCIETY,020508063,PO BOX 260,CONWAY,NH,03818-0260
SEA COAST AREA FELINE EDUCATION & RESCUE INC,020510319,PO BOX 1531,HAMPTON,NH,03843-1531
HUMANE SOCIETY FOR GREATER NASHUA CORPORATION,020513344,24 FERRY RD,NASHUA,NH,03064-8109
BLUE OCEAN SOCIETY FOR MARINE CONSERVATION INC,020523308,400 LITTLE HARBOR RD 1103,PORTSMOUTH,NH,03801-5586
NEW ENGLAND BRITTANY RESCUE INC,020527897,829 MILL ST,MARION,MA,02738-2202
WINCHESTER WILDLIFE REHABILITATION CENTER,020529054,109 WATSON RD,WINCHESTER,NH,03470-2342
ABOVE THE NOTCH HUMANE SOCIETY,020529281,PO BOX 98,FRANCONIA,NH,03580-0098
NEW ENGLAND BASSETT HOUND RESCUE INC,020529552,PO BOX 321,RUTLAND,MA,01543-0321
GREATEST CITY AQUARIUM SOCIETY INC,020574476,58 PYMOUTH ROAD,GREAT NECK,NY,11023-0000
BROKEN PROMISES SANCTUARY INC,020578281,24 PINE ST,LINCROFT,NJ,07738-1828
SAVE OUR STRAYS,020605795,PO BOX 445,FAIRFIELD,ME,04937-0445
GOOD SHEPHERD K9 RESCUE INC,020606639,20 SOUTH CHURCH ST,SCHENECTADY,NY,12305-1763
FELINE RESCUE OF STATEN ISLAND INC,020613392,19 VAN TINES LN,OLD BRIDGE,NJ,08857-3900
ONLY HOPE CAT RESCUE,020624925,PO BOX 164,ENGLEWOOD,NJ,07631-0164
RUTGERS THE STATE UNIVERSITY OF NJ,020631465,310 MILLTOWN RD,BRIDGEWATER,NJ,08807-3551
GREYHOUND ADOPTION OF GREATER ROCHESTER NY INC,020659061,9192 US ROUTE 20A,HEMLOCK,NY,14466-9665
GARDEN STATE GERMAN SHEPHERD RESCUE INC,020663128,PO BOX 495,EDISON,NJ,08818-0495
WHISKERS AND WAGS-4-ADOPTION INC,020722918,730 ANNA PL,N PLAINFIELD,NJ,07063-1602
GOLDEN HUGGS RESCUE INC,020795513,PO BOX 299,WAITSFIELD,VT,05673-0299
AMERICAN ACADEMY OF VETERINARY NUTRITION,020812649,14 IMPERIAL PL UNIT 201,PROVIDENCE,RI,02903-4639
NEW HAMPSHIRE SPCA,026000614,PO BOX 196,STRATHAM,NH,03885-0196
MONADNOCK REGION HUMANE SOCIETY,026005610,101 W SWANZEY RD,SWANZEY,NH,03446-3419
NEW HAMPSHIRE HUMANE SOCIETY,026006374,1305 MEREDITH CENTER RD,LACONIA,NH,03246-1408
ROCKINGHAM COUNTY KENNEL CLUB INC,026011588,727 SALMON FALLS RD,ROCHESTER,NH,03868-5922
STRAFFORD COUNTY ANIMAL PROTECTION SOCIETY,026013420,122 COCHECO RD,FARMINGTON,NH,03835-3804
HUMANE SOCIETY OF CHITTENDEN COUNTY,030193150,142 KINDNESS CT,S BURLINGTON,VT,05403-6753
BENNINGTON COUNTY HUMANE SOCIETY INC,030212493,1779 VT ROUTE 7A,ARLINGTON,VT,05250-8885
CENTRAL VERMONT HUMANE SOCIETY INC,030217066,1589 VT 14 S,EAST MONTPELIER,VT,05651-9736
ADDISON COUNTY HUMANE SOCIETY INC,030264068,236 BOARDMAN ST,MIDDLEBURY,VT,05753-8861
FRANKLIN COUNTY HUMANE SOCIETY INC,030275269,30 SUNSET MDWS,SAINT ALBANS,VT,05478-1932
VERMONT HORSEMENS COUNCIL,030298007,76 BAYBERRY LN,S BURLINGTON,VT,05403-8218
VERMONT VOLUNTEER SERVICES FOR ANIMALS,030318162,PO BOX 100,BRIDGEWATER,VT,05034-0100
VERMONT COVERTS WOODLANDS FOR WILDLIFE,030332447,PO BOX 328,VERGENNES,VT,05491-0328
TANNERY WILDLIFE REFUGE INC,030336255,12 ROBBINS RD,EAST DOVER,VT,05341-4411
POPE MEMORIAL FRONTIER ANIMAL SHELTER INC,030337856,4473 BARTON ORLEANS RD,ORLEANS,VT,05860-9028
NORTH COUNTRY ANIMAL LEAGUE INC,030344067,16 MOUNTAIN VIEW MEADOW RD,MORRISVILLE,VT,05661-4508
KEEPING TRACK INC,030345117,PO BOX 1115,RICHMOND,VT,05477-1115
CALEDONIA ANIMAL RESCUE INC,030354573,PO BOX 4054,ST JOHNSBURY,VT,05819-0000
EDDY FARM SCHOOL FOR HORSE AND RIDER CORPORATION,030360517,1815 S STREET EXT,MIDDLEBURY,VT,05753-8980
NORTHERN GREYHOUND ADOPTIONS INC,030367257,39 ROCKY RIDGE RD,FAIRFAX,VT,05454-7671
A HELPING PAW INC,030385126,PO BOX 387,BUZZARDS BAY,MA,02532-0387
